RACE,CLASS,AGE,SEX,DEGREE,EDUC,MARITAL,ATTEND,INCOME16,SEI10,MADEG,PADEG,MAEDUC,PAEDUC,MASEI10,PASEI10,PRESTG10,PRES16,PRES12
1,3,50,2,2,14,3,1,21,59.8,0,0,4,4,26.8,45.4,46,C,1
2,3,36,1,3,16,5,3,24,33.4,2,1,14,12,84.2,57.4,40,C,1
1,2,29,2,1,14,5,7,20,58.6,1,0,12,4,21.8,24.6,55,C,1
1,3,65,2,4,19,3,6,22,26.1,1,3,13,16,38.8,86.8,48,C,1
1,4,53,1,3,16,1,0,23,77.4,1,1,12,13,69.3,71.6,72,DK,1
1,3,45,1,4,18,1,1,26,77.4,3,4,18,18,54.6,50,72,C,1
1,2,36,2,1,15,3,0,16,20.1,1,1,12,12,86.5,36.2,48,C,1
1,3,60,1,1,12,1,0,23,46,1,1,12,12,14.6,46,49,DK,3
2,3,63,2,3,16,1,8,26,53.8,1,0,12,10,24.2,42.8,57,C,1
1,3,52,2,1,12,3,2,20,68.6,1,2,12,14,39.7,39.1,53,T,2
1,3,63,1,1,12,1,2,24,85.2,1,1,12,12,59.1,67.7,65,T,2
1,3,65,2,3,18,3,7,25,73.9,3,1,16,12,24.2,39.9,53,C,1
1,2,59,1,3,17,3,7,23,59.1,1,1,12,12,31.9,68.6,53,T,2
1,2,50,1,1,12,3,0,19,43,1,1,12,12,41.8,39.9,38,T,2
1,3,45,2,3,16,1,0,25,62.1,0,1,11,12,73.9,31.9,45,C,1
1,2,31,2,4,20,5,2,20,71.7,4,4,20,20,82.5,77.4,61,C,1
2,2,44,2,3,16,5,7,21,62.1,1,1,12,12,38.8,74.8,49,DK,2
2,3,46,2,3,16,1,8,24,77.3,1,1,11,12,20.7,46,52,C,1
1,3,37,1,1,12,1,3,26,45.4,1,1,12,12,13.6,46,49,C,1
1,2,45,2,1,12,3,0,14,37.2,1,1,12,12,38.8,23.8,55,T,1
1,3,57,1,3,16,1,4,26,66.4,1,1,12,12,38.8,45.1,66,T,1
1,4,77,1,1,14,3,7,20,57.3,1,1,12,14,20.8,57.4,43,T,1
3,3,29,1,3,16,5,4,22,87.9,3,3,16,16,74.8,86.5,60,C,1
1,3,42,1,4,20,1,0,23,57.4,3,4,16,18,92,92,50,C,1
2,2,25,2,3,16,5,7,16,25.7,4,4,12,12,59.1,62.9,38,C,1
1,3,34,2,4,20,1,4,24,71.7,3,4,16,20,67.7,84.5,61,T,2
1,3,42,1,2,14,5,7,17,24.2,3,4,16,20,18.6,91.9,48,C,1
1,3,34,2,4,16,1,2,26,91.1,3,4,16,18,77.4,50,75,C,1
1,4,54,1,4,16,1,3,26,77.4,3,3,16,16,84.2,82.7,72,C,1
2,4,35,2,3,16,1,7,26,77,3,4,16,14,68.6,69.3,55,C,1
2,2,28,2,2,14,1,6,21,46.6,3,4,16,16,84.2,70.1,69,C,1
1,2,67,2,1,12,2,7,11,38.8,0,0,7,5,17.1,19,47,C,1
1,4,60,2,4,20,1,6,26,73.9,4,3,20,16,46.5,86.1,53,T,2
3,3,68,1,4,16,1,2,23,87.9,4,4,15,17,82.5,92.8,60,C,1
1,3,43,1,4,20,1,7,26,80.7,3,1,16,13,39.7,78.3,65,C,1
3,2,36,2,1,12,1,4,20,28.7,0,1,10,12,24.2,32,51,C,1
1,3,52,1,2,14,5,2,21,77.4,0,1,10,12,14.6,43.5,72,T,2
1,3,61,2,1,13,1,0,21,76.3,1,1,12,12,76.3,68.6,60,DK,1
