RACE,CLASS,AGE,SEX,DEGREE,EDUC,MARITAL,ATTEND,INCOME16,SEI10,MADEG,PADEG,MAEDUC,PAEDUC,MASEI10,PASEI10,PRESTG10,PRES16,PRES12
3,3,65,1,4,18,4,0,26,83.4,1,1,14,14,39.6,14,61,T,2
1,2,39,2,1,14,2,0,15,24.2,1,1,12,12,84.2,42.2,48,DK,1
1,2,55,2,3,16,1,2,22,62,0,1,12,10,41.8,31.2,45,T,2
2,2,42,2,1,14,5,7,18,52,1,1,12,12,13.6,63.2,46,DK,1
1,1,60,2,4,18,5,7,12,80.9,1,0,12,8,27,20.7,61,C,1
1,2,35,2,1,12,5,2,18,26.1,4,1,15,12,84.2,20.9,48,C,1
1,3,34,1,3,16,1,7,26,46,1,1,12,12,46.6,79.4,49,T,2
1,3,54,1,1,12,5,0,18,26.8,1,0,12,8,31.6,25.2,35,T,2
1,3,44,2,3,16,3,7,19,59.9,1,1,12,12,38.8,65.3,42,T,2
1,3,55,1,1,12,5,0,26,83.8,1,1,12,12,84.2,39.7,70,T,1
1,2,54,1,3,16,3,0,21,82.5,1,0,12,11,67.7,32,64,T,1
2,3,70,2,1,14,1,8,25,62.1,0,0,2,8,20.7,44.5,45,C,1
3,2,42,2,3,17,5,7,18,68.6,2,1,14,11,23.3,59.1,53,C,1
1,3,72,2,1,12,4,0,19,24.2,0,0,6,6,12.7,65.1,48,T,2
2,4,69,1,0,11,2,5,9,13.6,0,0,3,0,12.6,36.2,33,C,1
2,4,68,1,0,10,4,5,10,53.5,0,0,8,2,21.6,40,37,C,1
1,2,45,2,1,12,5,7,15,12.6,1,1,12,12,38.8,67.7,25,T,2
1,2,65,1,1,12,1,0,16,28.4,0,0,8,8,32.7,32.7,38,T,2
1,2,29,1,1,13,1,7,14,21.6,3,1,16,13,84.2,31.2,28,DK,2
1,2,50,2,1,13,1,7,19,12.6,1,0,12,8,53.6,32,25,C,1
1,2,65,1,1,12,3,3,17,23.3,1,0,12,8,46.6,61.5,25,T,2
1,3,47,2,1,12,3,2,20,39.7,2,1,15,13,84.2,46,31,T,2
3,3,53,2,1,13,2,7,19,61.9,1,0,12,8,84.5,86.1,51,T,2
2,2,44,2,2,14,5,2,16,65.3,1,1,12,12,38.8,67.7,47,C,1
2,1,65,2,1,13,2,7,12,20.1,0,1,10,12,41.1,20.7,48,C,1
1,3,50,1,3,16,1,5,25,68.6,3,4,16,18,44.9,75.5,50,DK,2
1,3,49,2,3,16,1,2,24,68.6,1,1,12,12,24.2,33.9,50,C,1
1,2,69,2,1,9,3,6,17,20.1,0,0,0,5,14,48.8,48,C,1
1,2,53,1,1,14,1,7,21,28.7,1,1,14,12,38.8,85.2,44,T,2
1,3,71,1,3,16,3,6,17,89.3,1,4,12,18,39.7,62.1,75,C,2
1,3,60,2,1,12,1,3,26,52,1,1,12,14,41.8,59.1,46,T,2
1,2,33,1,1,14,1,4,24,63.7,1,3,12,16,56.9,80.9,33,C,1
1,2,29,1,3,17,5,1,16,68.6,4,4,18,20,62.9,84.5,50,C,1
2,3,60,2,1,13,3,3,18,57.8,1,1,12,14,21.8,32.6,47,C,1
1,3,65,1,3,18,3,4,16,25,1,3,12,18,17.1,83.1,35,C,1
1,2,57,2,1,12,1,0,22,84.5,1,1,13,12,38.8,61.4,74,C,1
1,3,48,1,3,18,1,3,17,70.5,1,1,12,12,43,48.3,48,T,2
1,3,27,1,1,15,1,5,18,18.6,3,4,16,20,39.7,92.8,37,T,1
2,1,30,2,1,12,5,0,15,38.1,1,1,12,15,84.2,68.6,39,C,1
1,2,66,2,1,12,3,3,9,38.8,1,0,12,10,39.7,25.2,47,C,1
3,3,59,2,1,15,3,0,17,60.2,1,1,12,12,60.5,28.4,46,DK,1
1,2,25,1,3,17,5,7,14,26.1,1,4,14,18,26.1,83.1,48,C,1
1,1,55,1,3,16,1,3,26,69.3,1,1,12,12,39.7,39.9,53,T,1
1,3,63,1,4,20,1,7,21,91.1,1,1,12,12,38.8,23.3,69,C,2
1,3,72,2,3,20,3,5,26,84.5,3,2,12,16,84.2,92.8,74,C,1
2,3,30,2,2,14,5,5,17,43,2,3,14,16,21.8,72.7,38,DK,1
1,3,85,1,3,17,5,0,10,72.7,0,0,0,0,70.3,57.5,58,C,1
1,3,86,1,1,13,2,0,23,57.8,1,1,12,12,24.2,41.4,47,DK,1
2,2,55,1,1,13,5,7,22,20.7,3,1,16,13,80.9,39.7,24,C,1
2,3,87,2,1,12,3,8,16,37.6,1,0,12,8,20.7,20.7,31,C,1
3,3,64,1,3,16,1,6,23,82.5,3,1,16,13,31.9,31.6,64,T,2
1,4,51,2,4,20,1,0,26,88.6,2,2,14,14,84.2,83.8,69,T,2
1,3,70,1,3,16,3,3,26,52.1,1,1,13,12,19.6,28.7,41,T,2
1,3,86,1,3,16,2,7,19,78.3,1,1,12,12,13.6,33.7,51,T,2
1,2,37,1,1,13,5,7,15,23.3,1,1,12,11,32.6,31.9,25,T,2
1,2,51,2,1,12,1,3,26,77.4,1,1,14,15,38.8,55.3,72,T,2
1,4,49,2,3,16,1,4,24,57.4,3,1,16,16,76.7,92.1,50,DK,2
1,3,68,2,4,16,1,5,25,84.2,4,1,18,12,80.9,61.2,64,C,1
1,3,68,2,1,12,1,7,21,35.8,0,0,8,8,19.6,23.3,32,T,2
1,3,74,1,4,18,1,3,21,69.3,3,1,16,12,80.9,38.1,53,T,2
1,3,37,2,3,17,1,0,24,82.5,1,3,12,16,37.9,80.9,64,C,1
1,2,34,2,3,16,1,7,18,82.5,3,1,16,12,80.9,20.7,64,DK,2
1,3,75,2,1,13,1,7,17,32.6,1,0,12,8,21.6,52.5,37,C,1
1,2,76,1,3,16,3,7,5,58.1,1,1,12,14,21.6,48.4,51,C,1
1,3,52,1,3,16,1,7,26,81.9,2,1,14,13,38.8,39.7,58,DK,2
1,2,57,1,0,11,2,0,18,68.6,1,0,12,8,38.8,32,50,C,1
2,2,34,2,1,12,5,3,17,69.4,1,1,12,14,23.8,28.5,47,C,1
1,2,35,1,1,16,5,0,18,19.6,1,1,16,12,41.1,46,31,DK,1
1,2,44,2,1,12,3,2,20,38.8,1,1,14,12,38.8,26.8,47,T,1
1,2,89,1,0,11,1,0,14,25.1,0,0,10,6,26.8,32.6,44,T,1
1,2,33,2,0,9,5,7,13,65.3,0,0,7,9,26.8,31.2,47,C,1
1,4,37,2,3,16,1,0,25,89.9,4,4,18,18,50.7,68.6,68,C,1
1,3,31,2,3,16,5,3,19,57.5,3,3,16,16,57.5,84,48,C,1
1,3,69,1,3,16,1,0,21,59.8,4,1,18,12,84.2,42.8,46,C,1
1,3,32,2,3,16,5,0,22,67.7,1,1,12,12,26.5,67.7,39,DK,3
1,2,32,1,3,16,5,1,18,39.2,2,2,14,14,38.3,79.9,38,C,1
1,3,24,1,3,16,5,0,19,63.7,2,2,14,14,26.1,45.4,51,C,1
1,3,30,2,4,20,1,4,18,84.5,4,4,20,20,84.5,92.8,74,C,1
1,2,53,1,1,11,1,0,20,31.6,1,0,12,9,38.8,32,35,T,2
1,3,31,1,4,18,1,1,20,86.7,3,4,16,18,69.3,62.9,65,C,1
1,2,61,1,1,12,3,0,18,29.5,1,0,12,8,13.3,28.7,29,C,1
1,3,61,2,3,16,3,3,24,63.7,0,1,9,12,46.5,48.3,33,C,2
1,3,67,2,4,18,5,1,19,82.5,4,4,18,20,80.9,63.7,64,C,1
1,2,61,2,1,12,1,3,20,18.8,0,0,8,6,12.4,39.9,28,T,1
1,1,70,1,1,12,1,0,17,65.1,1,2,12,14,60.2,46,59,T,2
2,2,36,2,1,14,3,5,18,36.4,3,4,15,16,41.1,91.9,44,C,1
1,3,51,2,2,14,1,4,26,38.8,1,1,12,14,38.8,68,47,T,2
1,2,47,2,2,16,1,7,20,57.8,1,3,13,16,61.2,67.7,37,T,2
1,3,42,1,1,13,1,0,25,84,1,1,14,12,28.7,46.2,73,T,2
1,3,77,2,1,12,1,7,19,38.3,1,1,12,12,26.5,44.6,45,T,2
1,2,32,1,1,12,1,0,22,35.3,1,2,12,14,32.6,35.3,42,T,2
1,4,69,1,4,18,1,5,23,68.6,1,4,12,18,39.7,77.4,53,C,1
1,3,80,1,4,16,1,7,21,82.5,0,0,8,8,38.8,46.5,64,T,2
1,3,49,1,3,16,3,2,25,71.8,3,3,16,16,77.2,79.3,64,C,1
1,3,24,1,1,16,5,0,15,86.1,3,3,16,12,76.3,20.7,70,DK,2
1,3,70,1,1,12,1,2,19,46.5,1,1,12,12,21.6,31.2,50,DK,2
1,2,33,2,1,12,1,0,20,21.8,2,1,14,12,64.5,32,35,DK,1
1,3,68,1,3,16,1,6,16,76.3,1,3,14,16,80.9,64.2,60,C,1
1,2,60,1,1,14,1,8,22,23.3,1,0,12,8,13.2,50.4,25,T,2
1,3,36,1,4,18,1,0,23,65.3,3,2,16,14,80.9,42.2,47,T,2
1,2,29,2,1,14,3,6,18,13.3,1,1,13,12,38.3,67.7,16,T,1
1,3,38,2,3,16,1,0,20,12.6,1,1,12,12,32,18.6,25,T,2
2,3,29,2,4,16,1,7,21,80.9,3,1,16,12,41.1,23.7,61,C,1
1,3,57,1,3,19,1,7,26,59.1,2,1,18,12,20.8,62,53,T,2
1,3,41,2,3,18,3,3,19,75.5,4,4,20,18,59.1,50.4,59,C,1
1,3,70,2,3,16,3,4,13,77.4,1,4,12,17,77.3,68.6,58,C,1
1,3,30,2,4,18,5,5,22,36.5,2,2,14,14,38.8,35.4,25,T,2
1,2,68,1,0,11,1,7,19,52.4,1,0,12,5,46.5,59.1,43,T,1
1,3,82,2,1,13,2,8,9,20.8,1,1,13,12,38.3,43,39,C,1
2,3,74,2,4,18,2,8,21,77.2,0,0,8,7,14,39.9,55,C,1
1,2,60,2,1,12,3,0,20,76.3,1,1,12,12,21.6,43,60,T,2
2,2,31,2,1,15,5,4,9,24.2,0,1,11,14,19.6,20.7,48,C,1
2,3,49,1,1,14,1,5,20,33.2,1,1,12,12,39.7,50.4,37,C,1
1,3,65,1,1,14,1,6,23,45.4,1,1,12,12,61.5,35.2,49,C,1
1,2,32,2,1,14,5,3,10,20.1,3,1,16,12,80.9,20.7,48,DK,1
1,3,52,1,4,18,1,7,24,71.4,1,1,12,12,62.1,59.1,62,T,2
1,3,77,2,3,16,2,0,15,73.9,1,0,12,8,76.3,48.3,53,C,1
1,3,66,1,3,16,3,2,17,76.3,1,0,12,9,61.4,48.8,60,T,2
1,3,58,1,3,16,5,3,21,53.6,0,0,10,11,21.6,52,56,T,2
2,2,50,2,2,14,4,2,18,69.3,3,3,16,16,76.3,12.4,53,C,1
2,3,29,2,3,17,5,7,16,82.5,3,3,16,16,84.2,50.4,64,C,1
1,1,38,1,2,14,1,1,12,52,2,1,14,12,77.4,46.5,46,T,1
1,4,46,1,4,18,1,2,26,49.2,1,4,16,18,43,70.1,52,T,3
2,1,49,1,3,16,5,6,9,52.4,1,1,12,12,82.5,39.1,43,C,1
1,1,45,2,1,10,3,0,10,67.7,1,1,9,12,19.6,57.4,39,DK,1
1,3,48,2,4,18,1,5,20,59.1,1,3,12,16,38.8,82.5,38,C,1
2,2,55,2,4,18,1,5,25,77.4,3,4,16,18,82.5,82.5,72,C,1
1,3,25,1,1,15,1,0,1,19.6,1,3,13,16,56.9,43,31,C,1
2,4,69,2,1,13,1,0,26,63.7,0,1,9,12,33.2,50.4,33,DK,1
2,3,33,1,3,16,5,3,21,65.3,2,2,14,14,33.4,50.4,60,C,1
1,3,43,2,3,16,1,0,26,73.9,1,3,12,16,69.3,61.9,53,T,2
1,4,56,2,3,16,3,0,26,92.8,3,3,16,16,82.5,76.3,80,T,2
1,4,72,2,3,16,1,7,26,88.3,1,1,12,12,12.6,65.3,59,T,2
1,4,60,1,4,18,1,7,26,52.5,2,3,14,16,38.8,76.3,44,T,2
1,3,38,1,3,16,1,0,26,79.3,3,1,16,12,82.5,65.1,63,C,1
1,2,65,2,2,14,1,3,18,63.7,0,0,11,10,26.8,36.7,51,C,1
1,2,66,2,1,12,1,2,23,24.2,1,1,12,12,24.2,61.4,48,T,2
1,3,25,2,2,14,1,0,20,24.6,1,1,12,12,61.4,19.7,36,DK,1
1,3,64,2,1,12,3,7,17,21.6,1,1,12,12,38.1,32,28,C,1
1,2,58,1,0,11,1,8,20,46.5,1,0,12,6,13.2,32,50,T,2
1,2,69,2,1,10,1,0,8,73.9,3,1,16,12,80.9,28.4,53,T,2
1,2,67,2,1,13,3,8,10,65.3,2,0,14,7,28.8,33.7,60,T,2
2,1,33,1,0,10,5,2,23,18.6,1,0,12,9,28.4,32,37,C,1
2,2,32,2,0,9,5,7,1,32.6,1,3,12,16,13.2,23.3,50,C,1
1,2,72,1,3,17,3,7,20,85.2,0,0,10,6,39.7,46,65,T,2
1,2,42,1,1,13,1,7,20,86.5,1,1,12,13,26.1,59.1,73,T,2
1,1,39,2,2,14,3,7,17,84.2,1,1,9,11,21.8,39.1,64,T,2
1,2,39,2,1,14,1,8,19,65.3,0,1,10,12,17.1,63.2,60,T,2
1,3,32,2,3,16,1,6,26,64.2,3,1,16,12,38.8,21,53,T,2
1,3,85,1,4,17,1,7,26,39.7,0,0,0,0,28.4,32,31,T,2
1,3,44,2,3,17,1,4,22,84.5,1,3,14,16,33.4,85.2,74,T,2
2,2,32,2,2,14,5,4,12,35.8,3,4,16,16,21.8,50.4,32,C,1
2,3,60,2,3,18,1,7,21,26.8,1,0,12,11,13.6,20.7,25,C,1
2,3,72,2,4,18,1,8,20,84.2,2,1,15,12,46.6,26.8,64,C,1
1,3,61,2,4,19,2,7,22,82.5,2,1,14,12,84.2,59.8,64,C,2
2,2,42,1,0,11,1,6,18,65.1,1,1,12,11,18.8,42.8,59,C,1
1,1,44,2,1,15,3,3,10,19.6,1,1,11,12,14.6,42.8,31,T,1
2,2,35,2,0,11,5,5,10,12.6,0,0,11,11,32.6,18.6,25,C,1
2,2,51,2,1,14,1,1,20,76.7,1,0,12,3,24.2,39,56,C,1
1,3,78,1,1,14,1,8,19,77.4,1,0,12,5,38.3,42.2,72,T,2
1,3,30,1,3,16,5,5,20,73.9,3,1,16,12,82.5,46,53,DK,4
1,3,76,2,3,16,3,0,20,84.2,1,1,12,12,21.6,20.8,64,C,1
1,3,75,2,1,12,5,8,9,84.2,1,2,16,15,26.8,62.6,64,T,2
3,3,61,1,4,20,1,8,14,50.4,1,4,12,20,37.2,82.5,62,T,2
1,2,38,1,2,14,1,4,14,13.6,1,0,12,8,21.8,26.8,33,T,1
2,2,33,2,3,17,5,5,17,71.4,2,1,14,12,76.3,39.1,62,DK,1
1,2,38,2,2,14,5,2,19,49.4,2,0,14,10,13.6,31.2,40,C,1
1,3,69,2,1,12,1,7,19,23.8,0,0,8,11,38.3,34.7,25,C,1
1,3,34,1,4,19,1,2,24,91.1,4,1,18,13,82.5,36.4,69,C,1
1,3,35,2,3,16,1,0,20,60.3,4,4,20,19,82.5,91.1,52,C,1
1,4,42,2,3,16,1,4,26,52.6,2,4,14,20,24.2,77.4,44,T,2
1,1,32,2,1,15,5,3,13,38.2,3,1,16,13,21.8,23.3,32,T,2
1,1,61,2,1,12,3,4,9,24.2,0,0,11,10,26.8,26.8,48,C,1
1,3,66,2,1,14,3,0,19,26.1,1,1,16,12,77.2,77.4,48,T,2
1,3,33,1,3,17,1,0,22,76.3,1,1,12,15,62.1,81.6,60,DK,2
1,3,61,1,3,16,1,5,18,36.5,0,1,10,12,20.8,46.5,25,T,2
1,3,71,2,4,16,1,7,20,80.9,2,1,14,12,84.2,18.6,61,C,1
1,1,44,1,1,12,3,0,9,57.4,0,0,10,7,38.1,46,50,T,2
1,2,42,2,2,14,1,0,20,60.3,1,1,12,13,15.8,32,52,T,2
1,2,37,1,1,12,1,0,19,58.1,3,0,16,11,59.1,21.3,51,T,1
1,2,77,2,1,12,3,1,12,25.7,0,0,9,9,13.6,23.7,38,T,2
1,2,55,2,3,16,2,7,22,76.3,1,1,12,12,39.7,57.4,60,T,2
1,2,60,2,1,13,2,3,20,64.4,1,1,12,12,38.8,31.3,39,T,2
1,3,69,1,4,19,3,7,23,87.6,0,0,8,8,39.7,36.2,71,T,2
1,3,74,1,4,19,1,7,23,35.5,1,1,12,12,13.6,25.1,43,T,2
1,3,69,1,3,16,3,3,15,23.8,1,0,12,8,21.8,28.3,25,T,2
1,2,34,2,1,12,1,7,17,24.6,1,1,12,12,19.6,35.2,36,DK,1
1,2,30,2,3,17,1,4,19,30,3,1,16,12,82.5,32,53,C,1
1,3,73,1,3,16,3,0,17,62.9,1,1,12,12,21.6,23.3,54,C,1
1,3,34,1,3,16,1,3,24,86.5,3,1,18,14,80.9,46,73,C,1
1,2,37,1,3,20,1,0,21,71,1,1,14,13,15.8,32,58,T,1
1,3,55,2,2,16,3,5,11,28.7,1,1,12,15,60.3,46.5,51,DK,2
2,1,34,2,1,13,1,3,10,19.6,2,1,16,12,84.2,39.2,31,C,1
1,3,58,1,3,16,3,7,21,64.5,1,4,12,18,38.8,64.2,48,C,1
1,2,43,1,1,15,5,2,15,37.8,1,1,12,12,14.6,46.5,36,C,1
1,3,44,2,4,18,3,0,26,61.4,2,1,14,12,76.3,39,55,C,1
1,2,40,2,1,14,1,8,14,71.4,1,4,14,16,13.3,28.4,62,C,1
1,3,52,1,3,18,3,5,19,84.5,3,1,16,14,80.9,61.5,74,DK,1
2,1,54,1,1,12,3,0,14,28.4,1,1,12,12,68,48.3,38,DK,1
1,3,43,2,4,18,1,7,20,63.7,1,1,12,12,38.3,59.1,51,T,2
1,2,69,1,1,12,1,5,20,83.8,1,1,12,12,39.7,31.2,70,T,1
1,3,51,2,1,12,1,2,21,21.8,0,1,10,12,21.8,27.1,35,T,1
1,3,74,1,1,14,1,7,20,66.1,1,1,12,12,38.8,58.1,49,T,2
1,3,48,2,1,12,1,8,21,25.7,1,1,14,12,24.2,32,38,T,2
1,3,63,2,1,12,1,0,21,38.8,0,0,11,7,24.2,24.2,47,C,1
1,3,59,2,3,16,1,7,21,62.9,1,1,14,12,36.5,67.7,54,T,2
2,3,66,2,0,11,2,7,1,17.1,0,0,11,10,25,28.4,32,DK,1
1,3,38,1,4,18,1,0,24,83.8,1,1,12,12,38.8,38.8,60,C,1
1,3,63,2,3,16,2,3,18,59.1,0,0,8,8,13.6,31.2,38,C,1
1,3,89,2,1,12,3,3,12,55.3,1,0,12,8,13.2,28.7,31,C,1
2,2,63,1,0,11,5,3,10,20.7,1,1,12,12,26.8,85,24,C,1
1,3,58,1,1,10,2,7,18,38.1,1,1,12,12,38.1,31,39,T,1
1,2,35,2,3,16,1,2,21,41.1,1,1,12,12,21.8,81,53,C,1
1,2,68,1,1,12,1,3,14,27.4,0,0,10,8,38.3,39.2,34,C,1
1,2,54,1,1,12,1,7,25,59.1,1,1,12,12,26.6,39.7,53,T,2
1,3,47,2,3,16,1,0,25,82.5,3,1,16,12,58.4,51.5,64,C,1
1,3,63,1,3,16,1,2,26,67.7,0,1,8,12,13.6,64.9,39,T,2
1,3,72,1,4,20,5,7,19,80.9,1,1,12,12,24,32,61,C,1
1,3,59,1,3,16,1,6,23,73.9,1,0,12,8,26.1,46,53,T,2
1,2,34,2,3,16,1,6,25,76.7,3,3,16,16,20.8,27.2,56,DK,1
1,2,37,2,2,15,1,1,21,69.3,0,0,8,10,21.8,25.2,53,T,2
1,3,48,1,3,16,3,7,20,39.2,2,1,14,12,33.4,32,38,T,2
1,3,60,2,3,16,1,7,20,75.5,1,1,12,12,34.6,39.9,59,T,2
1,2,47,2,4,20,1,7,22,38.8,1,4,12,18,14.8,52,47,DK,2
1,3,36,1,3,16,1,3,23,84,2,1,14,12,76.7,28.7,73,T,2
1,3,47,2,3,16,1,8,24,84.2,1,1,12,14,38.8,41.1,64,T,1
1,2,32,2,3,16,1,2,20,80.9,2,3,14,16,77,76.3,61,C,1
1,3,35,2,3,16,1,7,23,61.4,1,1,12,12,20.8,70.3,46,DK,1
1,3,59,1,4,19,1,0,25,91.1,1,1,12,12,43,43,69,T,1
1,3,41,2,3,16,1,6,23,73.6,3,3,16,16,76.3,68.6,67,C,1
1,3,45,1,3,17,3,3,25,58.1,1,1,14,14,43,57.4,51,T,2
1,3,45,2,4,16,1,0,23,71.8,4,1,17,12,59.1,39.9,64,C,1
1,2,87,2,0,11,1,7,15,34.6,0,0,8,6,12.6,85.2,35,T,2
1,3,56,2,3,16,3,5,24,37.6,1,0,12,8,31.6,67.7,31,T,2
2,3,85,1,4,19,2,7,18,75.5,0,0,8,9,15.8,19,59,C,1
1,3,61,1,4,18,3,0,19,63.7,4,1,18,12,82.5,53.2,51,T,2
1,4,67,2,1,13,1,7,26,41.4,1,4,13,19,84.5,62.6,60,T,2
1,3,86,2,4,16,2,8,20,84.5,3,4,16,16,59.1,92.1,74,C,1
1,3,81,1,1,14,1,7,18,43,0,0,5,5,19.6,28.3,38,T,1
1,1,39,2,2,19,5,7,20,80.9,4,1,18,11,71.7,23.3,61,C,1
3,2,49,1,3,13,3,5,25,31.3,0,0,5,5,46.5,25.2,26,DK,1
1,2,35,2,4,20,1,1,21,82.5,4,3,18,16,82.5,70.1,64,DK,1
1,2,66,2,1,14,3,0,19,38.4,1,1,13,12,39.7,73.5,51,C,1
1,3,64,2,2,13,1,3,25,62.9,1,1,12,14,43,21.6,54,T,2
3,3,64,2,3,16,3,0,21,91.1,0,0,8,8,23.3,65.3,69,C,1
1,2,56,1,0,11,5,4,18,28.7,1,1,12,10,12.6,31.2,32,T,1
3,2,71,2,3,16,3,2,19,60.1,1,0,12,8,26.2,32,46,T,1
1,3,56,2,4,18,1,5,26,87.3,3,3,16,16,38.8,57.4,65,T,2
1,3,56,1,4,20,1,2,24,92.1,4,4,18,19,71.7,38.8,72,T,2
1,3,62,2,4,16,1,7,20,57.8,4,4,18,16,75.5,70.1,37,T,2
1,3,55,1,4,16,1,0,26,77.4,1,1,12,12,84.2,81.6,72,C,1
3,1,66,2,1,15,3,5,9,46.6,0,0,8,8,19.7,58.2,69,C,1
1,2,33,2,3,16,3,7,19,84.2,3,4,16,18,61.2,61.4,64,T,2
1,3,51,1,2,14,3,2,17,52,2,2,14,14,45.3,35.3,46,T,1
1,2,67,2,1,13,3,0,13,57.8,0,0,6,6,17.1,39.9,47,C,1
1,3,51,2,1,14,3,5,23,60.3,1,4,14,18,57.5,71.8,39,DK,2
1,3,70,2,1,12,1,5,21,75.5,2,1,15,12,52,25.2,59,T,1
3,3,66,2,1,12,3,3,19,20.1,1,1,12,12,14.6,28.4,48,C,1
1,3,67,2,2,14,1,0,22,38.8,1,1,12,12,38.8,62.6,47,C,1
1,2,71,1,1,14,1,0,19,31.2,1,0,12,6,21.6,23.3,45,C,1
1,1,72,2,4,19,3,0,17,71.4,1,0,12,11,19.6,50,62,C,1
3,1,51,2,1,12,5,0,15,31.6,1,0,13,7,38.8,38.8,35,C,1
1,3,56,2,3,17,1,5,26,52,1,1,12,12,13.6,39.9,46,T,2
1,2,49,1,1,15,1,0,19,78.3,2,1,14,13,38.8,23.3,51,C,1
3,1,29,2,3,20,5,0,9,13.6,1,1,13,12,20.8,73.9,21,DK,1
1,3,41,2,3,16,1,8,23,89.1,1,1,12,13,13.6,39.9,62,T,2
1,2,49,2,1,12,3,0,21,20.8,1,1,11,15,31.6,48.4,39,T,2
1,3,69,1,1,15,1,2,20,28.7,1,1,12,12,62,59.1,44,T,2
1,3,55,1,3,18,1,4,26,79.4,1,1,12,12,35.3,46.5,65,T,2
1,3,51,1,1,15,1,2,23,59.8,4,3,20,16,80.9,76.3,45,C,1
3,2,63,1,3,18,3,7,18,69.3,1,0,12,8,61.4,34.6,59,T,2
1,2,57,1,2,17,3,0,22,46.2,1,1,12,12,38.8,50.4,33,C,1
1,4,44,1,4,20,1,6,26,75.2,2,4,14,18,55.3,65.1,66,T,2
1,2,41,2,2,14,3,0,13,13.6,1,1,14,12,59.9,32,33,DK,1
1,2,24,1,3,19,1,2,8,39.7,3,3,16,16,19.6,67.7,31,DK,1
1,2,28,2,2,15,1,0,21,61.4,2,1,16,10,57.8,22.9,46,DK,1
1,3,71,1,4,19,1,2,26,84,1,1,14,15,75.5,50.1,73,T,2
1,4,53,1,4,20,1,0,26,80.9,3,4,16,18,59.1,57.4,61,C,1
1,3,75,1,0,11,3,0,11,31.6,1,1,12,12,38.8,58.4,35,C,1
1,2,66,1,1,12,1,7,20,28.5,0,0,10,10,21.6,31,26,T,1
1,2,44,1,1,12,1,7,18,59.9,1,4,14,18,38.8,68,42,DK,3
1,3,81,2,1,12,2,0,10,12.6,0,1,9,12,22.4,28.7,25,DK,1
1,2,76,1,1,14,1,7,20,73.5,1,1,14,16,35.8,89.3,58,T,2
1,1,30,2,1,14,5,2,13,14.6,1,0,13,11,21.8,32,24,DK,3
1,2,66,2,1,12,2,0,16,39.7,0,0,10,9,21.6,19.7,31,C,1
1,2,28,1,4,18,5,7,19,62.9,2,2,14,14,37.9,62,54,C,1
1,2,28,2,1,14,1,0,9,21.8,1,1,13,13,21.8,65.3,35,T,2
1,3,80,1,3,16,1,7,22,79.4,1,1,12,14,76.3,46.6,65,T,2
3,2,36,1,2,14,1,5,20,36.4,1,1,12,12,84.2,32,45,T,2
1,3,37,1,3,16,1,5,22,81,4,4,20,20,63.7,62.9,63,C,1
1,3,39,1,3,17,1,0,24,36.4,4,4,18,18,82.5,27,52,DK,2
1,2,40,2,2,14,1,7,24,73.9,4,1,18,12,26.5,35.4,53,DK,2
1,2,39,2,3,16,1,7,24,24.6,3,3,16,16,57.8,39.9,36,T,1
1,2,63,2,1,12,1,0,22,12.6,0,0,9,3,13.6,28.7,25,T,2
1,2,39,2,1,12,1,7,11,13.6,0,0,2,2,39.7,39.7,21,T,2
1,2,59,2,1,12,2,0,18,38.8,1,1,12,12,32,26.2,47,C,1
1,2,51,1,2,14,1,2,19,39.1,1,3,12,16,24.6,83.8,48,DK,2
1,3,56,2,3,16,1,5,26,67.7,3,4,16,20,82.5,89.9,39,T,2
1,2,39,1,1,13,1,7,19,31.9,1,1,12,12,23.8,46,32,T,2
1,3,62,1,3,20,2,0,14,32,3,1,16,12,27,38.8,35,C,1
1,3,74,2,1,12,1,7,21,52,1,0,12,6,13.6,39.9,46,T,2
1,2,52,2,1,13,1,3,14,69.3,1,3,12,16,38.3,59.1,53,T,1
2,2,35,2,1,14,1,8,19,43,0,1,12,12,24.2,39.9,38,C,1
1,3,49,2,1,12,1,7,19,66.1,1,0,12,8,82.7,46,49,T,2
1,3,62,1,1,12,1,3,24,53.2,0,0,10,9,19.7,26.8,49,C,1
1,3,59,1,4,16,1,7,20,62.6,4,4,18,20,51.7,62.6,66,T,2
1,3,85,1,1,12,1,3,18,68,0,0,7,3,29.9,26.8,50,T,2
1,2,46,1,0,8,3,2,16,32,0,1,8,15,21.6,39.1,35,T,1
1,2,49,2,1,14,1,6,19,37.2,0,0,11,10,33.2,31,55,T,2
1,3,26,1,3,17,5,0,16,39.1,4,3,20,18,80.9,60.1,48,DK,1
1,3,53,1,1,12,4,2,26,25.2,1,1,12,12,31.6,39.1,28,C,1
1,3,63,1,1,12,1,2,20,56.9,0,0,8,8,57.5,36.4,49,T,2
2,2,25,1,1,14,5,7,19,32.6,3,3,16,16,45.1,39.1,50,DK,1
1,2,74,2,3,16,5,0,19,80.9,3,0,16,8,80.9,67.7,61,T,2
1,2,61,2,1,12,2,7,26,41,1,1,12,12,24.6,31.3,39,T,1
1,2,29,1,1,12,5,6,22,52.1,1,1,13,12,21.8,77.7,38,T,1
3,2,31,2,1,12,5,7,18,38.8,1,1,13,12,52.1,65.3,47,DK,1
1,1,59,1,1,12,3,0,6,28.4,1,1,12,12,59.8,35.4,38,T,1
